date,holiday,locale,transferred,sales,onpromotion,dcoilwtico
2013-01-01,Holiday,National,False,2511.618999,0.0,165975.47891235352
2013-01-02,Not Holiday,Not Holiday,False,496092.417944,0.0,165975.47891235352
2013-01-03,Not Holiday,Not Holiday,False,361461.231124,0.0,165672.54217529297
2013-01-04,Not Holiday,Not Holiday,False,354459.6770927,0.0,165939.84489440918
2013-01-05,Work Day,National,False,477350.121229,0.0,166082.39456176758
2013-01-06,Not Holiday,Not Holiday,False,519695.401088,0.0,166082.39456176758
2013-01-07,Not Holiday,Not Holiday,False,336122.801066,0.0,166082.39456176758
2013-01-08,Not Holiday,Not Holiday,False,318347.777981,0.0,166100.21836853027
2013-01-09,Not Holiday,Not Holiday,False,302530.809018,0.0,165868.56326293945
2013-01-10,Not Holiday,Not Holiday,False,258982.003049,0.0,167169.41564941406
2013-01-11,Not Holiday,Not Holiday,False,289737.6850845,0.0,166795.1972808838
2013-01-12,Work Day,National,False,403258.2120105,0.0,167989.13401794434
2013-01-13,Not Holiday,Not Holiday,False,464638.547998,0.0,167989.13401794434
2013-01-14,Not Holiday,Not Holiday,False,293348.362078,0.0,167989.13401794434
2013-01-15,Not Holiday,Not Holiday,False,299129.549954,0.0,166189.3238067627
2013-01-16,Not Holiday,Not Holiday,False,318347.913946,0.0,168006.95782470703
2013-01-17,Not Holiday,Not Holiday,False,267498.5159755,0.0,170163.1761932373
2013-01-18,Not Holiday,Not Holiday,False,296130.850028,0.0,170377.02108764648
2013-01-19,Not Holiday,Not Holiday,False,432459.852021,0.0,171232.3734741211
2013-01-20,Not Holiday,Not Holiday,False,461092.386047,0.0,171232.3734741211
2013-01-21,Not Holiday,Not Holiday,False,311211.26595000003,0.0,171232.3734741211
2013-01-22,Not Holiday,Not Holiday,False,296214.728983,0.0,171232.3734741211
2013-01-23,Not Holiday,Not Holiday,False,283258.4530325,0.0,169396.91564941406
2013-01-24,Not Holiday,Not Holiday,False,247245.690995,0.0,169913.6972808838
2013-01-25,Not Holiday,Not Holiday,False,290022.77193,0.0,169557.3027191162
2013-01-26,Not Holiday,Not Holiday,False,413799.7679753,0.0,170982.89456176758
2013-01-27,Not Holiday,Not Holiday,False,430411.991233,0.0,170982.89456176758
2013-01-28,Not Holiday,Not Holiday,False,285460.169953,0.0,170982.89456176758
2013-01-29,Not Holiday,Not Holiday,False,264488.81807649997,0.0,173958.84489440918
2013-01-30,Not Holiday,Not Holiday,False,281061.127052,0.0,174600.36598205566
2013-01-31,Not Holiday,Not Holiday,False,271254.217996,0.0,174012.3027191162
2013-02-01,Not Holiday,Not Holiday,False,369402.055266,0.0,173673.71836853027
2013-02-02,Not Holiday,Not Holiday,False,518887.462705,0.0,171446.21836853027
2013-02-03,Not Holiday,Not Holiday,False,486336.82018,0.0,171446.21836853027
2013-02-04,Not Holiday,Not Holiday,False,344308.715017,0.0,171446.21836853027
2013-02-05,Not Holiday,Not Holiday,False,321245.83913,0.0,172283.76054382324
2013-02-06,Not Holiday,Not Holiday,False,321538.177149,0.0,171856.08435058594
2013-02-07,Not Holiday,Not Holiday,False,290807.530973,0.0,170786.8734741211
2013-02-08,Not Holiday,Not Holiday,False,347441.789912,0.0,170555.21836853027
2013-02-09,Not Holiday,Not Holiday,False,416176.2790747,0.0,172871.8238067627
2013-02-10,Not Holiday,Not Holiday,False,300951.328993,0.0,172871.8238067627
2013-02-11,Holiday,National,False,278627.588926,0.0,172871.8238067627
2013-02-12,Holiday,National,False,308800.7909121,0.0,173709.36598205566
2013-02-13,Not Holiday,Not Holiday,False,319597.929962,0.0,172907.45782470703
2013-02-14,Not Holiday,Not Holiday,False,308164.016957,0.0,173388.60543823242
2013-02-15,Not Holiday,Not Holiday,False,320168.883912,0.0,170982.89456176758
2013-02-16,Not Holiday,Not Holiday,False,485660.494008,0.0,172301.58435058594
2013-02-17,Not Holiday,Not Holiday,False,399588.910014,0.0,172301.58435058594
2013-02-18,Not Holiday,Not Holiday,False,350745.573191,0.0,172301.58435058594
2013-02-19,Not Holiday,Not Holiday,False,293637.801951,0.0,172301.58435058594
2013-02-20,Not Holiday,Not Holiday,False,313803.162034,0.0,169147.43673706055
